Year,Continent,Average
2000,Asia,70.93858696
2001,Asia,70.94582328
2002,Asia,71.18737589
2003,Asia,71.18056738
2004,Asia,71.17361702
2005,Asia,71.16666667
2006,Asia,71.15914894
2007,Asia,71.15134752
2008,Asia,71.14382979
2009,Asia,71.1364539
2010,Asia,71.12893617
2011,Asia,71.12156028
2012,Asia,71.11432624
2013,Asia,71.10751773
2014,Asia,71.09971631
2015,Asia,71.09914894
2000,Australia,70.10206897
2001,Australia,70.17724138
2002,Australia,70.25172414
2003,Australia,70.3462069
2004,Australia,70.46068966
2005,Australia,70.53931034
2006,Australia,70.61724138
2007,Australia,70.68827586
2008,Australia,70.74551724
2009,Australia,70.79172414
2010,Australia,70.81862069
2011,Australia,70.89448276
2012,Australia,70.97103448
2013,Australia,71.04758621
2014,Australia,71.12413793
2015,Australia,71.20068966
2000,Europe,76.81321509
2001,Europe,77.45018149
2002,Europe,77.43602908
2003,Europe,77.42763095
2004,Europe,77.41938834
2005,Europe,77.41114572
2006,Europe,77.40368072
2007,Europe,77.398393
2008,Europe,77.39186112
2009,Europe,77.38641788
2010,Europe,77.37895288
2011,Europe,77.37055474
2012,Europe,77.35640233
2013,Europe,77.32794199
2014,Europe,77.32296532
2015,Europe,77.32296532
2000,North America,73.71464174
2001,North America,73.70529595
2002,North America,73.69626168
2003,North America,73.68753894
2004,North America,73.6788162
2005,North America,73.66978193
2006,North America,73.66137072
2007,North America,73.65264798
2008,North America,73.64361371
2009,North America,73.63489097
2010,North America,73.6258567
2011,North America,73.6165109
2012,North America,73.60778816
2013,North America,73.59937695
2014,North America,73.59096573
2015,North America,73.58255452
2000,South America,72.78079096
2001,South America,72.78926554
2002,South America,72.79830508
2003,South America,72.8039548
2004,South America,72.81694915
2005,South America,72.8259887
2006,South America,72.83502825
2007,South America,72.84180791
2008,South America,72.85310734
2009,South America,72.86666667
2010,South America,72.87740113
2011,South America,72.88870056
2012,South America,72.90056497
2013,South America,72.91355932
2014,South America,72.92711864
2015,South America,72.94067797
2000,Africa,58.37396938
2001,Africa,58.34405183
2002,Africa,58.404947
2003,Africa,58.43663133
2004,Africa,58.46937574
2005,Africa,58.50306243
2006,Africa,58.53698469
2007,Africa,58.57043581
2008,Africa,58.60282686
2009,Africa,58.63368669
2010,Africa,58.66277974
2011,Africa,58.68928151
2012,Africa,58.7130742
2013,Africa,58.73510012
2014,Africa,58.75559482
2015,Africa,58.77491166
